"id","title","interpreter","composer","texter","album","language","instrumentation","velocity","volume","atmosphere","all_genres","feelings"
1,Schon bald,,Lin-Manuel Miranda,Lin-Manuel Miranda,Alexander Hamilton (Musical),,Vocal,Medium,Balanced,,Musical,"Majestic,Playful,Triumphant,Restless"
2,Es ist ruhiger Uptown,,Lin-Manuel Miranda,Lin-Manuel Miranda,Alexander Hamilton (Musical),,Vocal,Slow,Calm,Melancholic,Musical,"Melancholic,Hopeful,Nostalgic"
3,Norwegian Sunset,Bent Fabricius-Bjerre,Bent Fabricius-Bjerre,,,,Instrumental,Medium,Balanced,Neutral,Ambient,Majestic
4,In the Hall of the Mountain King,,Edvard Grieg,,,,Instrumental,From Slow to Fast,From Quiet to Loud,Neutral,Classical,"Mysterious,Playful,Triumphant,Restless"
5,Mr. Blue Sky,Electric Light Orchestra,Electric Light Orchestra,Electric Light Orchestra,,,,Fast,Loud,Euphoric,"Pop-Rock,Symphonic Rock,Progressive Pop,Barock-Pop,Glam Rock","Hopeful,Nostalgic,Playful,Triumphant,Euphorisch"
6,Cielo Andaluz,,Pascual Marquina Narro,,,,Instrumental,Medium,Balanced,Neutral,"Paso Doble,Blasmusik,Flamenco,Konzertmusik","Hopeful,Nostalgic,Majestic,Triumphant,Energiegeladen,Dramatisch,Folkloristisch"
7,Concierto de Aranjuez,Joaquín Rodrigo,Joaquín Rodrigo,,,,Instrumental,Slow,Calm,Melancholic,"Flamenco,Konzertmusik,Gitarrenkonzert,Neoklassizismus,Impressionistisch","Melancholic,Passionate,Nostalgic,Dramatisch,Lyrisch/poetisch,Befreiend"
8,La Virgen de la Macarena,,Bernardo Bautista Monterde,,,,Instrumental,Medium,Loud,Neutral,"Paso Doble,Blasmusik,Flamenco,Neoklassizismus,Marschmusik,Prozessionsmarsch,Religiös","Nostalgic,Majestic,Triumphant,Energiegeladen,Dramatisch,Lyrisch/poetisch"
9,El Quijote,,Ferrer Ferran,,,,Instrumental,Medium,Loud,Euphoric,"Paso Doble,Blasmusik,Konzertmusik,Programmmusik,Filmmusik,Neoromantisch","Nostalgic,Dramatisch,Befreiend,Heroisch/episch,Traumhaft/surreal,Humorvoll/ironisch"
10,Barcelona,Freddie Mercury,Freddie Mercury,,,,Vocal,Medium,Loud,Euphoric,"Symphonic Rock,Progressive Pop,Flamenco,Neoromantisch,Swing","Passionate,Hopeful,Nostalgic,Mysterious,Triumphant,Dramatisch,Heroisch/episch,Traumhaft/surreal"
11,Fandango,,Frank Perkins,,,,Instrumental,Fast,Balanced,Happy,"Jazz,Latin Jazz,Tanzmusik","Nostalgic,Playful,Energiegeladen,Humorvoll/ironisch,Exotisch,Romantisch"
12,Hijo de la Luna,Mecano,José María Cano,,Entre el Cielo y el Suelo“,,Vocal,Fast,Balanced,Dark,"Flamenco,Synthpop,New Wave,Art Pop,Pop,Gothic Pop","Melancholic,Hopeful,Nostalgic,Mysterious,Dramatisch,Traumhaft/surreal"
13,Granada,Augustin Lara,Augustin Lara,,,,Vocal,From Slow to Fast,Calm,Happy,"Flamenco,Latin,Latin Bolero,Copla Andalusa,Latin Pop","Melancholic,Passionate,Nostalgic,Triumphant,Lyrisch/poetisch,Romantisch"
14,La Oreja de Oro,Mariano San Miguel,Mariano San Miguel,,,,Instrumental,Medium,Balanced,Neutral,"Paso Doble,Blasmusik,Flamenco,Neoklassizismus,Marschmusik,Prozessionsmarsch","Passionate,Nostalgic,Triumphant,Energiegeladen,Dramatisch"
15,Macarena,Los del Rios,Los del Rios,,A mí me gusta,,Vocal,Fast,Loud,Happy,"Flamenco,Tanzmusik,Pop,Rumba,Eurodance,Novelty Song","Playful,Euphorisch,Energiegeladen,Exotisch"
16,Rondo alla Turca,,Wolfgang Amadeus Mozart,,,,Instrumental,Fast,Calm,Neutral,"Classical,Marschmusik,Programmmusik,Rondo,Türkischer Marsch,Sinfonie","Energiegeladen,Exotisch"
17,Sinfonie Nr. 9 in E-Moll „Aus der neuen Welt“: IV. Allegro con fuoco,,Antonín Dvořák,,,,Instrumental,Medium,Loud,Euphoric,"Programmmusik,Sinfonie","Passionate,Majestic,Triumphant,Dramatisch,Befreiend,Heroisch/episch,Romantisch,Kraftvoll"
18,"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": II. Romance",,Wolfgang Amadeus Mozart,,,,Instrumental,Slow,Calm,Melancholic,"Serenade,Kammermusik,Streichermusik,Divertimento","Melancholic,Lyrisch/poetisch,Traumhaft/surreal,Romantisch,Zärtlichkeit,Innere Ruhe"
19,Trompetenkonzert in Es-Dur,,Joseph Haydn,,,,Instrumental,Medium,Balanced,Happy,"Orchestermusik,Kammermusik,Solokonzert,Trompetenkonzert","Triumphant,Lyrisch/poetisch,Zärtlichkeit,Virtuosität,Pioniergeist"
20,"Peer Gynt Suite No. 1, Op. 46: Peet Gynt Suite No. 1, Op. 46: I. Morning",,Edvard Grieg,,,,Instrumental,Medium,Calm,Happy,"Programmmusik,Orchestermusik,Bühnenmusik,Populäre Klassik","Hopeful,Lyrisch/poetisch,Romantisch,Zärtlichkeit,Innere Ruhe,Friedlich,Heiterkeit,Aufbruch,Natur,Märchenhaft"
21,Pomp and Circumstance March No. 1,,Edward Elgar,,,,Instrumental,Medium,Loud,Euphoric,"Marschmusik,Populäre Klassik,Militärmarsch,Zeremonielle Musik,Festmusik","Passionate,Hopeful,Majestic,Triumphant,Heiterkeit,Stolz,Patriotismus"
22,"21 Hungarian Dances for Orchestra, WoO 1: No. 5, Allegro",,Johannes Brahms,,,,Instrumental,Fast,Aggressive,Euphoric,"Tanzmusik,Orchestermusik,Kammermusik,Populäre Klassik,Charakterstück","Passionate,Playful,Energiegeladen,Exotisch,Virtuosität"
23,Il bene si avvera (ci sono anch'io),Niccolò Agliardi,,,Braccialetti Rossi 2,italienisch,,,,,,
24,Tempo ipotetico,Niccolò Agliardi,,,,italienisch,,,,,,
25,Alla fine del peggio,Niccolò Agliardi,,,,italienisch,,,,,,
26,Conta,Niccolò Agliardi,,,,italienisch,,,,,,
27,"Io non ho finito
",Niccolò Agliardi,,,,italienisch,,,,,,
28,Simili,Laura Pausini,,,,italienisch,,,,,,
29,Perfetto,Eros Ramazzotti,,,Perfetto,italienisch,,,,,,
30,Il mio giorno più bello nel mondo,Francesco Renga,,,Tempo Reale Extra,italienisch,,,,,,
31,Pianeti,Ultimo,,,,italienisch,,,,,,
32,SNAP (Italian),Rosa Linn,,,SNAP PACK,italienisch-englisch,,,,,,
33,L'inizio del mondo (sigla),Niccolò Agliardi,,,Braccialetti Rossi 2,italienisch,,,,,,
34,IO CANTO,Laura Pausini,,,IO CANTO,italienisch,,,,,,
35,Primavera in anticipo,Laura Pausini,,,Primavera in anticipo,italienisch,,,,,,
36,Eccoti (La storia più incredibile che conosco),Max Pezzali,Max Pezzali,,Il mondo insieme a te,italienisch,,,,,,
37,Il mondo insieme a te,Max Pezzali,Max Pezzali,,Il mondo insieme a te,italienisch,,,,,,
38,Spazio tempo,Francesco Gabbani,Francesco Gabbani,,Volevamo solo essere felici,italienisch,,,,,,
39,Ragazza paradiso,Ermal Meta,Ermal Meta,,Vietato Morire,italienisch,,,,,,
40,Non smettere mai,Max Pezzali,Max Pezzali,,Qualcosa di nuovo,italienisch,,,,,,
41,Il ballo delle Incertezze,Ultimo,Ultimo,,Peter Pan,italienisch,,,,,,
42,Grande amore (Eurovision Version),Il Volo,Il Volo,,,italienisch,,,,,,
43,Gli anni,"883","883",,"La donna, il sogno & il grande incubo",italienisch,,,,,,
44,Non E' L'Inferno ,Emma,,,,italienisch,,,,,,
45,Viva La Libertà ,Lorenzo Jovanotti Cherubini,,,,italienisch,,,,,,
46,Viceversa ,Francesco Gabbani,,,,italienisch,,,,,,
47,Come Nelle Favole ,Francesca Michielin,,,,italienisch,,,,,,
48,Piccola anima ,Ermal Meta,,,,italienisch,,,,,,
49,Vietato morire ,Ermal Meta,,,,italienisch,,,,,,
50,L'amore esiste ,Francesca Michielin,,,,italienisch,,,,,,
51,Lascia che io sia (5030 Version) ,Nek,,,,italienisch,,,,,,
52,DAMMI UN BACIO JA’ ,Leo Gassmann,,,,italienisch,,,,,,
53,Quello che ci resta ,Ermal Meta,,,,italienisch,,,,,,
54,Brava che sei ,Sergio Andrei,,,,italienisch,,,,,,
55,CI SARÒ ,Alfa,,,,italienisch,,,,,,
56,Il testamento di Tito ,Fabrizio De André,,,,italienisch,,,,,,
57,"Sogna, Ragazzo, Sogna ",Alfa,,,,italienisch,,,,,,
58,Vai! ,Alfa,,,,italienisch,,,,,,
59,Wanderlust! ,Alfa,,,,italienisch,,,,,,
60,SuL Più BeLLo (Out Of My League) - prod. Yanomi ,Alfa,,,,italienisch,,,,,,
61,Vabbè ciao ,Alfa,,,,italienisch,,,,,,
62,Il mio colore preferito ,Alfa,,,,italienisch,,,,,,
63,Ma tu come stai ,Alfa,,,,italienisch,,,,,,
65,Straordinario ,Chiara Galiazzo,,,,italienisch,,,,,,
67,L'ULTIMA POESIA (feat. Ultimo) ,Geolier,,,,italienisch,,,,,,
68,NEVE AL SOLE ,Ultimo,,,,italienisch,,,,,,
69,Non mi avete fatto niente ,Ermal Meta,,,,italienisch,,,,,,
70,Buona fortuna ,Benji & Fede,,,,italienisch,,,,,,
71,Una Su 1.000.000 ,Alex Britti,,,,italienisch,,,,,,
72,La musica non c'è ,Coez,,,,italienisch,,,,,,
73,Ogni volta ,Benji & Fede,,,,italienisch,,,,,,
74,Girasoli ,Emanuele Aloia,,,,italienisch,,,,,,
75,Finirà bene ,Ermal Meta,,,,italienisch,,,,,,
76,Vietato morire (Alternative Version) ,Ermal Meta,,,,italienisch,,,,,,
77,Quel filo che ci unisce - Home piano session ,Ultimo,,,,italienisch,,,,,,
78,il filo rosso ,Alfa,,,,italienisch,,,,,,
79,Tutte le notti ,Tommaso Paradiso,,,,italienisch,,,,,,
80,Capolavoro ,Il Volo,,,,italienisch,,,,,,
81,Vittima ,Modà,,,,italienisch,,,,,,
82,Bella stronza ,Marco Masini,,,,italienisch,,,,,,
83,Amati Sempre ,Ultimo,,,,italienisch,,,,,,
84,Balorda nostalgia ,Olly,,,,italienisch,,,,,,
85,Cerco una parola ,Simone Cristicchi,,,,italienisch,,,,,,
86,Le poche cose che contano (feat. Amara) ,Simone Cristicchi,,,,italienisch,,,,,,
87,Je Vis Pour Elle ,Andrea Bocelli,,,,italienisch,,,,,,
88,Volevo essere un duro ,Lucio Corsi,,,,italienisch,,,,,,
89,La metà della mela ,Ligabue,,,,italienisch,,,,,,
90,Occhi grandi ,Enrico Nigiotti,,,,italienisch,,,,,,
91,METEO ,Emanuele Aloia,,,,italienisch,,,,,,
92,È sempre bello ,Coez,,,,italienisch,,,,,,
93,Quelli come me ,Modà,,,,italienisch,,,,,,
94,Quel sorriso in volto ,Modà,,,,italienisch,,,,,,
95,Cuore e vento (feat. Tazenda) ,Modà,,,,italienisch,,,,,,
96,Per una notte insieme ,Modà,,,,italienisch,,,,,,
